name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Battle Line,3.559704830053667,172.0,2.0,2.0,15.0,30.0,29.99,0.00,19.69
Imhotep,3.5810810810810803,148.0,2.0,4.0,45.0,60.0,56.99,34.95,25.79
Arkham Horror,3.2179547228727556,210.0,1.0,8.0,120.0,180.0,51.99,63.75,29.79
Star Wars X-Wing: Core Set,3.5377329192546596,168.0,2.0,2.0,30.0,45.0,14.99,46.74,30.95
A Game of Thrones: The Board Game Second Edition,3.531592898713748,161.0,3.0,6.0,120.0,240.0,53.99,69.95,12.99
Alchemists,3.712504869497467,151.0,2.0,4.0,120.0,180.0,64.99,53.95,30.79
6 Nimmt!,3.4069767441860446,172.0,2.0,10.0,45.0,45.0,14.99,13.99,8.29
Wits & Wagers,3.376288659793814,194.0,3.0,21.0,25.0,25.0,36.99,36.95,34.00
Ghost Stories,3.4457831325301203,166.0,1.0,4.0,60.0,75.0,54.99,59.99,25.95
Cyclades,3.663672814755414,145.0,2.0,5.0,60.0,90.0,95.99,74.95,41.79
Scythe: Invaders from Afar,4.095834638271219,103.0,1.0,7.0,90.0,150.0,47.99,26.95,20.66
Harry Potter: Hogwarts Battle,3.5135046652479938,149.0,2.0,4.0,30.0,60.0,0.00,42.97,37.85
Sentinels of the Multiverse,3.3146067415730336,178.0,2.0,5.0,30.0,60.0,56.99,90.08,27.99
Evolution,3.450292397660819,171.0,2.0,6.0,60.0,60.0,63.99,45.95,35.80
Hero Realms,3.564551268536089,153.0,1.0,4.0,30.0,45.0,0.00,18.95,15.29
Near and Far,3.8036697247706406,109.0,2.0,4.0,60.0,120.0,96.99,63.95,48.49
Deep Sea Adventure,3.3500000000000005,160.0,2.0,6.0,30.0,45.0,32.99,20.95,14.99
Raptor,3.6906474820143873,139.0,2.0,2.0,20.0,40.0,47.99,69.63,22.79
Downforce,3.708661417322834,127.0,2.0,6.0,30.0,45.0,56.99,39.95,27.49
Concordia: Britannia & Germania,3.841269841269841,27.0,2.0,5.0,90.0,120.0,36.99,21.95,21.04
Fury of Dracula (Third and Fourth Editions),3.6187050359712236,139.0,2.0,5.0,120.0,180.0,0.00,484.27,0.00
Yokohama,3.8391702586206895,116.0,2.0,4.0,90.0,120.0,64.99,128.25,0.00
Dominion: Intrigue,3.898550724637682,138.0,2.0,4.0,30.0,30.0,56.99,35.95,28.99
Glory To Rome,3.7962962962962967,108.0,2.0,5.0,60.0,60.0,0.00,0.00,0.00
Telestrations,3.481802721088435,168.0,4.0,8.0,30.0,45.0,0.00,28.95,17.99
Red7,3.2848837209302326,172.0,2.0,4.0,5.0,10.0,17.99,10.95,0.00
Scythe: The Rise of Fenris,4.348484848484848,66.0,1.0,7.0,75.0,150.0,79.99,48.95,28.99
Race for the Galaxy: Rebel vs Imperium,3.8333333333333344,48.0,1.0,6.0,60.0,75.0,29.99,54.78,30.29
Marvel Champions: The Card Game,4.041666666666666,72.0,1.0,4.0,45.0,90.0,0.00,62.95,38.66
Alien Frontiers,3.6004026845637607,149.0,2.0,4.0,90.0,90.0,0.00,79.95,3.12
Lewis & Clark: The Expedition,3.6071428571428568,140.0,1.0,5.0,120.0,180.0,0.00,48.95,29.79
Mice and Mystics,3.3825503355704707,149.0,1.0,4.0,60.0,90.0,104.99,95.77,53.95
Russian Railroads,3.845402701669428,118.0,2.0,4.0,90.0,120.0,0.00,0.00,0.00
The Isle of Cats,4.344827586206896,58.0,1.0,4.0,60.0,90.0,79.99,0.00,35.99
Star Wars X-Wing: The Force Awakens Core Set,3.8285714285714287,35.0,2.0,2.0,30.0,45.0,0.00,46.61,0.00
